"artist_name","album_name","track_number","track_name","speechiness","instrumentalness","acousticness","valence","energy","danceability","loudness","tempo","time_signature","duration_min","key_mode","track_id","album_release_year"
"Metallica","Kill 'Em All ",1,"Hit The Lights",0.205,0.187,4.79e-05,0.278,0.97,0.264,-5.526,160.727,4,4.2644,"E minor","4hh0IO5OHTigfnPTpDleL7",1983
"Metallica","Kill 'Em All ",2,"The Four Horsemen",0.408,0.0765,0.00157,0.327,0.938,0.224,-6.907,203.79,4,7.2091,"C major","5RrnDgjoFxDINI5aFQPZXt",1983
"Metallica","Kill 'Em All ",3,"Motorbreath",0.157,0.0515,0.000121,0.347,0.934,0.289,-6.085,173.872,4,3.1307,"C# major","6RqEJvpEzzlwj8g0wKG1ln",1983
"Metallica","Kill 'Em All ",4,"Jump In The Fire",0.106,0.0118,0.00606,0.659,0.908,0.29,-5.677,178.359,4,4.6882,"F minor","4fVBFyglBhMf0erfF7pBJp",1983
"Metallica","Kill 'Em All ",5,"(Anesthesia) Pulling Teeth",0.0729,0.822,0.000551,0.15,0.887,0.176,-7.585,99.206,4,4.2427,"G major","4hsJQXAXPbni5QyChVzVsD",1983
"Metallica","Kill 'Em All ",6,"Whiplash",0.0983,0.422,0.000611,0.192,0.916,0.384,-6.468,158.042,4,4.1424,"E minor","38fIaph07Kd8ZIN6l17ZJs",1983
"Metallica","Kill 'Em All ",7,"Phantom Lord",0.309,0.0308,0.000733,0.129,0.975,0.21,-5.302,159.384,4,5.0216,"C# minor","5R5b3EZkGsYsZz2XdUNrXI",1983
"Metallica","Kill 'Em All ",8,"No Remorse",0.162,0.358,0.000309,0.239,0.916,0.297,-5.975,96.773,4,6.4427,"E minor","2uQBTkujGFuwUnA0fi5Qnb",1983
"Metallica","Kill 'Em All ",9,"Seek & Destroy",0.282,0.0132,0.037,0.448,0.964,0.445,-5.493,140.817,4,6.912,"A major","28WmNsclKsrVmdv3tDmoYU",1983
"Metallica","Kill 'Em All ",10,"Metal Militia",0.142,0.00724,8.66e-05,0.235,0.957,0.166,-5.323,175.828,4,5.1911,"A major","2TBRfDnfwsOIaGxkkXFBN2",1983
"Metallica","Ride The Lightning ",1,"Fight Fire With Fire",0.111,0.728,3.75e-05,0.133,0.988,0.283,-7.017,90.791,4,4.7418,"C major","6ckozbGmOusAnLT2LEbERy",1984
